01:03:48 Loaded 500 cached emails
01:03:48 Already done: 25
01:03:48 Remaining to process: 453
01:03:48 Split into 2 chunks of size ~227
01:03:48 Starting workers...
01:48:08 [209/453] 19e03a03... (2660s, 0.08/s, ETA 3105s)
01:48:19 [210/453] 19df8b81... (2671s, 0.08/s, ETA 3090s)
01:48:22 [211/453] 19e037df... (2674s, 0.08/s, ETA 3067s)
01:48:35 [212/453] 19df8b38... (2687s, 0.08/s, ETA 3055s)
01:48:43 [213/453] 19e039ed... (2695s, 0.08/s, ETA 3036s)
01:48:47 [214/453] 19df8ad8... (2699s, 0.08/s, ETA 3015s)
01:48:54 [215/453] 19e03682... (2706s, 0.08/s, ETA 2996s)
01:49:06 [216/453] 19df89f4... (2718s, 0.08/s, ETA 2982s)
01:49:08 [217/453] 19e03357... (2720s, 0.08/s, ETA 2958s)
01:49:18 [218/453] 19df89b3... (2730s, 0.08/s, ETA 2943s)
01:49:30 [219/453] 19df8941... (2742s, 0.08/s, ETA 2930s)
01:49:40 [220/453] 19e032c5... (2752s, 0.08/s, ETA 2914s)
01:49:43 [221/453] 19df8927... (2755s, 0.08/s, ETA 2892s)
01:49:55 [222/453] 19e0312d... (2767s, 0.08/s, ETA 2879s)
01:49:57 [223/453] 19df87ea... (2769s, 0.08/s, ETA 2856s)
01:50:08 [224/453] 19df87a2... (2780s, 0.08/s, ETA 2842s)
01:50:12 [225/453] 19e0312c... (2784s, 0.08/s, ETA 2821s)
01:50:20 [226/453] 19df8741... (2792s, 0.08/s, ETA 2805s)
01:50:21 [227/453] 19e0310c... (2793s, 0.08/s, ETA 2781s)
01:50:36 [228/453] 19df855a... (2808s, 0.08/s, ETA 2771s)
01:50:39 [229/453] 19e02fe8... (2811s, 0.08/s, ETA 2750s)
01:50:50 [230/453] 19df871b... (2822s, 0.08/s, ETA 2736s)
01:50:55 [231/453] 19e02d8f... (2827s, 0.08/s, ETA 2717s)
01:51:03 [232/453] 19df850b... (2835s, 0.08/s, ETA 2700s)
01:51:17 [233/453] 19e02a21... (2849s, 0.08/s, ETA 2691s)
01:51:30 [234/453] 19df864b... (2862s, 0.08/s, ETA 2679s)
01:51:41 [235/453] 19df847c... (2873s, 0.08/s, ETA 2665s)
01:51:42 [236/453] 19e02be9... (2874s, 0.08/s, ETA 2643s)
01:51:49 [237/453] 19df849f... (2881s, 0.08/s, ETA 2626s)
01:51:57 [238/453] 19e027dd... (2889s, 0.08/s, ETA 2610s)
01:51:58 [239/453] 19df847b... (2890s, 0.08/s, ETA 2588s)
01:52:09 [240/453] 19e0259b... (2901s, 0.08/s, ETA 2574s)
01:52:21 [241/453] 19df847a... (2913s, 0.08/s, ETA 2562s)
01:52:24 [242/453] 19e02bf6... (2916s, 0.08/s, ETA 2542s)
01:52:34 [243/453] 19df8365... (2926s, 0.08/s, ETA 2529s)
01:52:35 [244/453] 19e024f8... (2927s, 0.08/s, ETA 2508s)
01:52:45 [245/453] 19e021dd... (2937s, 0.08/s, ETA 2493s)
01:52:46 [246/453] 19df833f... (2939s, 0.08/s, ETA 2473s)
01:52:56 [247/453] 19e02189... (2948s, 0.08/s, ETA 2459s)
01:52:58 [248/453] 19df830b... (2950s, 0.08/s, ETA 2439s)
01:53:08 [249/453] 19e012bf... (2960s, 0.08/s, ETA 2425s)
01:53:16 [250/453] 19df8234... (2968s, 0.08/s, ETA 2410s)
01:53:26 [251/453] 19df81a1... (2978s, 0.08/s, ETA 2397s)
01:53:33 [252/453] 19e0138a... (2985s, 0.08/s, ETA 2381s)
01:53:38 [253/453] 19df81f3... (2990s, 0.08/s, ETA 2364s)
01:53:49 [254/453] 19df813d... (3001s, 0.08/s, ETA 2351s)
01:53:54 [255/453] 19e00f86... (3006s, 0.08/s, ETA 2334s)
01:54:03 [256/453] 19e00e64... (3015s, 0.08/s, ETA 2320s)
01:54:09 [257/453] 19df8196... (3021s, 0.09/s, ETA 2304s)
01:54:13 [258/453] 19e00c46... (3025s, 0.09/s, ETA 2286s)
01:54:25 [259/453] 19df8117... (3037s, 0.09/s, ETA 2275s)
01:54:27 [260/453] 19e00787... (3039s, 0.09/s, ETA 2256s)
01:54:38 [261/453] 19e006a5... (3050s, 0.09/s, ETA 2243s)
01:54:44 [262/453] 19df803e... (3056s, 0.09/s, ETA 2228s)
01:54:55 [263/453] 19df7bd9... (3067s, 0.09/s, ETA 2216s)
01:54:56 [264/453] 19e00346... (3068s, 0.09/s, ETA 2196s)
01:55:04 [265/453] 19df7b8d... (3076s, 0.09/s, ETA 2182s)
01:55:10 [266/453] 19dffc88... (3082s, 0.09/s, ETA 2167s)
01:55:18 [267/453] 19df7815... (3090s, 0.09/s, ETA 2152s)
01:55:22 [268/453] 19dff9f3... (3094s, 0.09/s, ETA 2136s)
01:55:31 [269/453] 19df6e4d... (3103s, 0.09/s, ETA 2123s)
01:55:34 [270/453] 19dff9f5... (3106s, 0.09/s, ETA 2105s)
01:55:45 [271/453] 19dff9f2... (3118s, 0.09/s, ETA 2094s)
01:55:52 [272/453] 19df650c... (3124s, 0.09/s, ETA 2079s)
01:55:54 [273/453] 19dff9f0... (3126s, 0.09/s, ETA 2061s)
01:56:00 [274/453] 19dff9ef... (3132s, 0.09/s, ETA 2046s)
01:56:12 [275/453] 19dff9ed... (3144s, 0.09/s, ETA 2035s)
01:56:13 [276/453] 19df66fb... (3145s, 0.09/s, ETA 2017s)
01:56:24 [277/453] 19dff9ed... (3156s, 0.09/s, ETA 2005s)
